id	contentType	sourceRef	partNo	chapterNo	sectionNo	topicNo	parenNo	bracketNo	itemNo	title	answer	level	examYears	requiredKeywords	optionalKeywords	tags	isActive	checkStatus
p03-c01-016	STANDARD		3	1	3	3	1		2	역진법과 전진법의 적용	① 매출채권의 실재성(=매출의 발생사실): 문서검사 적용방법은 역진법이고, 모집단은 장부이다.\n② 매입채무의 완전성: 문서검사 적용방법은 전진법이고, 모집단은 관련 증빙이다.	1		역진법,전진법,매출채권,실재성,매출의 발생사실,매입채무	완전성,장부,관련 증빙	3편;1장;검사;문서검사	TRUE	CONFIRMED
p03-c01-017	STANDARD		3	1	3	3	2		1	실사 수행시 유의사항	① 현금, 유가증권, 받을어음과 같이 상호융통이 가능한 자산은 동시에 실사함으로써 상호융통을 방지해야 한다.\n② 선택실사할 경우 실사장소를 감사대상회사에 미리 통보하면 감사대상회사가 관련자산의 융통을 저지를 수 있으므로 실사장소를 미리 통보하지 않아야 한다.\n③ 가능한 한 재무제표일 전후에 실사를 수행하여 증거의 적시성을 확보해야 한다.\n④ 예금통장 등을 확인할 때에는 반드시 원본을 확인하여야 한다.\n⑤ 자산의 분실에 대한 오해를 방지하기 위하여 실사는 감사대상회사 담당자의 참관 아래 수행되어야 하며, 실사가 완료된 후에는 해당자산이 모두 이상 없이 반납되었음을 담당자로부터 문서로 확인받아야 한다.	4		실사,실물검사,상호융통,동시 실사,선택실사,실사장소 미통보	재무제표일 전후,원본 확인,담당자 참관,반납확인	3편;1장;검사;실물검사	TRUE	CONFIRMED
p03-c01-018	STANDARD		3	1	3	7	1		1	외부조회로 입수한 감사증거가 신뢰성이 높은 이유	① 기업 외부의 독립된 원천으로부터 입수된 감사증거이다.\n② 감사인이 직접 입수한 감사증거이다.\n③ 종이, 전자문서, 기타매체 등 문서형태의 감사증거이다.	3		외부조회,감사증거,신뢰성,기업 외부,독립된 원천	감사인의 직접 입수,문서형태	3편;1장;외부조회	TRUE	CONFIRMED
p03-c01-019	STANDARD		3	1	3	7	2		1	적극적 조회와 소극적 조회의 비교	비교: 적극적 조회와 소극적 조회\n① 적극적 조회: 조회처가 조회서의 정보가 사실과 일치 여부에 상관없이 그 확인내용을 감사인에게 직접 회신해 달라고 요청하는 조회이다. 장점은 감사증거에 대한 신뢰성이 높다는 것이고, 단점은 시간과 비용이 많이 투입된다는 것이다.\n② 소극적 조회: 조회처가 조회서의 정보에 사실과 다른 경우에만 감사인에게 직접 회신해 달라고 요청하는 조회이다. 장점은 시간과 비용이 적게 소요된다는 것이고, 단점은 감사증거에 대한 신뢰성이 낮다는 것이다.	4		적극적 조회,소극적 조회,직접 회신,사실과 일치 여부	사실과 다른 경우,신뢰성,시간과 비용	3편;1장;외부조회	TRUE	CONFIRMED
p03-c01-020	STANDARD	감사기준서 505-A51	3	1	3	7	2	1	2	공란형태 조회방법의 장·단점	① 장점: 조회처가 해당 정보가 정확한지 여부를 검증하지 않고 조회에 회신할 위험을 감소시킨다.\n② 단점: 조회처의 추가적인 노력을 요구하기 때문에 회신율이 감소한다.	3		공란형태 조회,장점,단점,검증하지 않고 회신할 위험	조회처의 추가적인 노력,회신율 감소	3편;1장;외부조회;적극적조회	TRUE	CONFIRMED
p03-c01-021	STANDARD	감사기준서 505-15	3	1	3	7	2	2	1	소극적 조회를 이용할 수 있는 경우	소극적 조회를 이용할 수 있는 경우는 다음 요건을 모두 충족하는 경우이다.\n① 소극적 조회절차의 대상이 되는 항목의 모집단이 다수의 동질적이며 소액인 계정잔액이나 거래 또는 조건들로 구성되어 있다.\n② 감사인이 중요왜곡표시위험이 낮다고 평가하였고 경영진주장과 관련된 통제의 운영효과성에 대해 충분하고 적합한 감사증거를 입수하였다.\n③ 불일치사항의 발생률이 매우 낮을 것으로 예상된다.\n④ 감사인은 소극적 조회의 수신자가 그러한 요청을 무시할 상황이나 조건에 대하여 알고 있지 아니하다.	4		소극적 조회,다수의 동질적 항목,소액,중요왜곡표시위험 낮음	통제의 운영효과성,불일치사항 발생률,요청 무시 가능성	3편;1장;외부조회;소극적조회	TRUE	CONFIRMED
p03-c01-022	STANDARD	감사기준서 505-7	3	1	3	7	3	1	1	외부조회시 감사인이 직접 통제해야 하는 4가지 절차	① 확인하거나 요청할 정보의 결정\n② 적합한 조회대상자의 선택\n③ 조회서의 설계\n④ 조회처에 대한 조회요청서의 발송	3		외부조회,직접 통제,정보의 결정,조회대상자 선택,조회서 설계	조회요청서 발송	3편;1장;외부조회	TRUE	CONFIRMED
p03-c01-023	STANDARD	감사기준서 505-A1	3	1	3	7	3	1	2	외부조회를 통해서 확인할 수 있는 정보	① 계정잔액과 그 구성요소에 관한 정보\n② 해당기업과 다른 당사자 간의 약정, 계약 또는 거래의 조건\n③ 이면계약과 같은 특정의 조건이 없다는 사실	3		외부조회,계정잔액,구성요소,약정,계약	거래조건,이면계약,특정 조건 없음	3편;1장;외부조회	TRUE	CONFIRMED
p03-c01-024	STANDARD		3	1	3	7	3	1	3	관련 경영진주장과 조회처의 선정방법	① 매출채권: 실재성 확인을 위하여 잔액이 큰 거래처 중심으로 조회한다.\n② 매입채무: 완전성 확인을 위하여 잔액이 없더라도 당기 중 주요 거래처를 조회한다.\n③ 금융기관: 완전성, 특히 부외부채의 확인을 위하여 당기 중에 거래가 있었던 모든 금융기관을 조회한다.	1		매출채권,실재성,잔액이 큰 거래처,매입채무,완전성,주요 거래처	금융기관,부외부채	3편;1장;외부조회	TRUE	CONFIRMED
p03-c01-025	STANDARD		3	1	3	7	3	1	4	조회서의 설계시 결정사항	① 조회서의 종류: 적극적 조회와 소극적 조회 중 선택한다.\n② 조회서에 수신인이 적절히 표시되었는지 여부를 확인한다.\n③ 감사인에게 직접 발송되도록 회신에 관한 정보가 포함되었는지 여부를 확인한다. 조회서의 회신인은 반드시 감사인이어야 한다.	4		조회서 설계,조회서의 종류,적극적 조회,소극적 조회	수신인,회신정보,감사인 직접 회신	3편;1장;외부조회	TRUE	CONFIRMED
p03-c01-026	STANDARD	감사기준서 505-A18	3	1	3	7	3	2	1	매출채권과 매입채무에 대한 조회서의 미회신시 대체적 절차	① 매출채권: 재무제표일 후 특정현금회수, 선적서류, 보고기간말에 근접하여 발생한 매출거래를 조사한다.\n② 매입채무: 재무제표일 후 현금지급, 상품수령증과 같은 기타기록, 제3자로부터의 서신을 조사한다.	2		매출채권,매입채무,미회신,대체적 절차,특정현금회수,선적서류,매출거래	현금지급,상품수령증,제3자 서신	3편;1장;외부조회	TRUE	CONFIRMED
p03-c01-027	STANDARD	감사기준서 505-A20	3	1	3	7	3	2	2	적극적 조회의 회신이 반드시 필요한 경우	① 경영진주장을 확인하기 위해 이용가능한 정보가 오직 기업의 외부에서만 입수가능한 경우\n② 특정 부정위험요소로 인해 감사인이 기업에서 입수한 증거를 신뢰할 수 없는 경우\n이 경우 대체적 감사절차는 불가하며 감사의견을 변형하여야 한다.	3		적극적 조회,회신 필요,기업 외부 정보,특정 부정위험요소	감사증거 신뢰 불가,대체적 감사절차 불가,감사의견 변형	3편;1장;외부조회	TRUE	CONFIRMED
p03-c01-028	STANDARD	감사기준서 505-A12; 감사기준서 505-A14; 감사기준서 505-A16	3	1	3	7	3	2	3	조회결과에 대하여 신뢰성이 의심되는 상황과 그 대응절차	① 회신이 감사인에게 간접적으로 전달된 경우나 회신이 원래 의도된 조회대상자로부터 발송되지 않은 것으로 보이는 경우: 조회처에 전화하여 조회처가 실제 그 회신을 보냈는지 확인하고, 조회처가 감사인에게 직접 서면으로 회신해 달라고 요청한다.\n② 전자적으로 수령한 회신인 경우: 전자형태정보의 발신자 신원을 확인하기 위하여 암호, 전자서명, 웹사이트의 신뢰성을 검증하는 절차를 이용하고 조회처에 전화하여 조회처가 실제 그 회신을 보냈는지 확인한다.\n③ 특수관계자로부터 회신한 경우: 조회로부터 입수한 감사증거의 신뢰성이 낮지만 일단 조회를 실시한 후 관련 문서검사 등 추가적인 절차를 실시한다.\n④ 회신의 이용에 관한 제한적인 문구가 있는 경우: 일반적으로 조회서에 포함되는 이용제한 문구가 있다고 해서 감사증거의 신뢰성이 무효화되는 것은 아니다.	3		조회결과,신뢰성 의심,간접 회신,전자적 회신,특수관계자 회신,이용제한 문구	전화 확인,직접 서면회신,전자서명,추가절차	3편;1장;외부조회	TRUE	CONFIRMED
p03-c01-029	STANDARD	감사기준서 505-8	3	1	3	7	3	3	1	경영진이 외부조회 거부시 대응절차	① 경영진의 거부사유에 관하여 질문하고 그 타당성과 합리성에 관해 감사증거를 구한다.\n② 경영진의 거부가 부정위험 등 관련 중요왜곡표시위험에 대한 감사인의 평가와 다른 감사절차의 성격, 시기 및 범위에 대하여 갖는 시사점을 평가한다.\n③ 관련성이 있고 신뢰할 수 있는 감사증거를 입수할 수 있도록 설계된 대체적 감사절차를 수행한다.	3		경영진 외부조회 거부,거부사유,타당성,합리성	부정위험,중요왜곡표시위험,대체적 감사절차	3편;1장;외부조회	TRUE	CONFIRMED
p03-c01-030	STANDARD	감사기준서 505-9	3	1	3	7	3	3	2	조회서의 발송에 대한 경영진의 거부사유가 비합리적이거나 대체적 감사절차로 충분하고 적합한 감사증거를 입수하지 못한 경우 수행절차	조회서의 발송에 대한 경영진의 거부사유가 비합리적이거나 대체적 감사절차로부터 충분하고 적합한 감사증거를 입수하지 못한 경우 수행절차\n① 지배기구와 커뮤니케이션한다.\n② 감사와 감사의견에 대한 시사점을 결정한다.	3		비합리적,대체적 감사절차,감사증거,경영진 거부사유	지배기구 커뮤니케이션,감사의견 시사점	3편;1장;외부조회	TRUE	CONFIRMED
p03-c01-031	STANDARD	감사기준서 620-6	3	1	4	1	1		1	경영진측 전문가와 감사인측 전문가의 정의의 비교	비교: 경영진측 전문가와 감사인측 전문가의 정의\n① 경영진측 전문가: 회계나 감사 외의 분야에서 전문성을 보유하고 해당 분야에서 기업의 재무제표 작성에 도움을 주는 개인 또는 조직이다.\n② 감사인측 전문가: 회계나 감사 외의 분야에서 전문성을 보유하고 감사인이 충분하고 적합한 감사증거를 입수하는 데 도움을 줄 수 있도록 해당 분야에서의 업무가 감사인에 의해 활용되는 개인 또는 조직이다.	3		경영진측 전문가,감사인측 전문가,회계나 감사 외의 분야,전문성	재무제표 작성,감사증거,개인 또는 조직	3편;1장;전문가활용	TRUE	CONFIRMED
p03-c01-032	STANDARD	500	3	1	4	1	2		1	회사가 경영진측 전문가를 활용한 경우 감사절차	① 경영진측 전문가의 평가: 적격성, 역량 및 객관성을 평가한다.\n② 경영진측 전문가가 수행한 업무에 대한 이해\n③ 경영진측 전문가가 수행한 업무의 적합성 평가	3		경영진측 전문가,감사절차,적격성,역량	객관성,업무의 이해,업무의 적합성 평가	3편;1장;전문가활용	TRUE	CONFIRMED
p03-c01-033	STANDARD	감사기준서 500-A38	3	1	4	1	2	1	1	경영진측 전문가의 적격성과 역량 및 객관성에 관한 정보의 원천	① 해당 전문가가 과거에 수행한 업무에 대한 개인적 경험\n② 해당 전문가와의 토의, 해당 전문가가 수행한 업무에 익숙한 타인과의 토의\n③ 해당 전문가의 자격, 전문직 단체 또는 협회의 회원 여부, 개업요건 또는 기타 형태의 외부적 공인제도에 대해 알고 있는 지식\n④ 해당 전문가가 저술한 논문이나 서적\n⑤ 감사인이 경영진측 전문가에 의해 생성된 정보와 관련하여 충분하고 적합한 감사증거를 얻는 데 도움을 줄 수 있는 감사인측 전문가 등	3		경영진측 전문가,적격성,객관성,정보의 원천,역량,개인적 경험	토의,자격,전문직 단체,논문,서적,감사인측 전문가	3편;1장;전문가활용	TRUE	CONFIRMED
p03-c01-034	STANDARD	감사기준서 500-A59	3	1	4	1	2	3	1	경영진측 전문가가 수행한 업무의 적합성 평가시 고려할 사항	① 해당 전문가가 수행한 업무에 원천데이터가 유의적으로 사용되는 경우 그러한 원천데이터의 관련성, 완전성 및 정확성\n② 해당 전문가가 수행한 업무에 외부 정보원천으로부터의 데이터가 사용되는 경우 그 정보의 관련성과 신뢰성\n③ 해당 전문가가 유의적 가정과 방법을 사용한 경우 그러한 가정과 방법의 관련성과 합리성\n④ 해당 전문가의 발견사항이나 결론의 관련성과 합리성, 다른 감사증거와의 일관성, 이들이 재무제표에 적합하게 반영되었는지 여부	3		경영진측 전문가,업무의 적합성,원천데이터,관련성,완전성,정확성,외부 정보원천	신뢰성,가정과 방법,발견사항,결론,재무제표 반영	3편;1장;전문가활용	TRUE	CONFIRMED
p03-c01-035	STANDARD	감사기준서 620-A1	3	1	4	2	1		1	회계나 감사 외 분야의 전문성 분야	① 복잡한 금융상품, 토지 및 건물, 공장과 기계장치, 보석, 예술작품, 골동품, 무형자산, 사업결합으로 인수한 자산과 부채, 손상되었을 가능성이 있는 자산 등에 대한 평가\n② 보험계약이나 종업원급여제도와 연관된 부채의 보험수리적 계산\n③ 복잡하거나 비경상적인 세법준수이슈의 분석\n④ 계약 및 법규의 해석\n⑤ 원유 및 가스의 매장량에 대한 추정\n⑥ 환경부채 및 부지환경정화비용의 평가	3		전문성 분야,복잡한 금융상품,자산 평가,보험수리적 계산,세법준수이슈	계약 및 법규 해석,매장량 추정,환경부채	3편;1장;감사인측전문가	TRUE	CONFIRMED
p03-c01-036	STANDARD	620	3	1	4	2	2		1	감사인측 전문가의 활용절차	① 감사인측 전문가의 필요성 결정\n② 감사인측 전문가의 평가\n③ 감사인측 전문가가 수행할 업무의 합의\n④ 감사인측 전문가가 수행한 업무의 적합성 평가	3		감사인측 전문가,활용절차,필요성 결정,전문가 평가	업무의 합의,업무의 적합성 평가	3편;1장;감사인측전문가	TRUE	CONFIRMED
p03-c01-037	STANDARD	620	3	1	4	2	2	1	1	감사인측 전문가를 활용할지 여부를 결정할 때 고려할 사항과 필요한 상황	① 경영진이 재무제표를 작성할 때 경영진측 전문가를 활용하였는지 여부: 경영진이 경영진측 전문가를 활용한 경우\n② 해당사항의 복잡성 등 관련사항의 성격과 유의성: 복잡한 유의적인 비상장주식의 평가\n③ 해당사항에 포함된 중요왜곡표시위험: 중요왜곡표시위험이 높을수록\n④ 해당사항과 관련된 전문가의 업무에 대한 감사인의 지식과 경험 등 식별된 위험에 대응하는 감사절차의 예상되는 성격, 감사증거에 대한 대체적 원천의 이용가능성: 예상되는 감사절차의 성격이 복잡하고 감사증거에 대한 대체적 원천의 이용가능성이 낮은 경우	3		감사인측 전문가,활용 여부,경영진측 전문가,복잡성,유의성	중요왜곡표시위험,감사인의 지식과 경험,대체적 원천	3편;1장;감사인측전문가	TRUE	CONFIRMED
p03-c01-038	STANDARD	감사기준서 620-10	3	1	4	2	2	2	1	감사인이 감사인측 전문가의 해당 분야를 이해하는 목적	① 감사목적을 위해 감사인측 전문가 업무의 성격, 범위 및 목적을 결정한다.\n② 감사목적을 위해 감사인측 전문가 업무의 적합성을 평가한다.	3		감사인측 전문가,해당 분야 이해,업무의 성격,범위,목적	업무의 적합성 평가	3편;1장;감사인측전문가	TRUE	CONFIRMED
p03-c01-039	STANDARD	감사기준서 620-9	3	1	4	2	2	3	1	전문가가 수행할 감사절차의 성격, 시기 및 범위를 결정할 때 고려사항	① 전문가의 업무가 관련된 사항의 성격\n② 전문가의 업무가 관련된 사항에서의 중요왜곡표시위험\n③ 감사 관점에서 해당 전문가의 업무가 가지는 유의성\n④ 해당 전문가가 이전에 수행한 업무에 대한 감사인의 지식과 경험\n⑤ 해당 전문가가 감사인이 속한 회계법인의 품질관리정책과 절차의 적용대상인지 여부	3		전문가,감사절차의 성격,시기,범위,중요왜곡표시위험	유의성,감사인의 지식과 경험,품질관리정책과 절차	3편;1장;감사인측전문가	TRUE	CONFIRMED
p03-c01-040	STANDARD	감사기준서 620-11	3	1	4	2	2	3	2	감사인측 전문가와 합의할 사항	① 감사인측 전문가 업무의 성격, 범위 및 목적\n② 감사인과 감사인측 전문가 각자의 역할과 책임\n③ 감사인측 전문가가 작성하는 보고서의 형태 등 감사인과 감사인측 전문가 간 커뮤니케이션의 성격, 시기 및 범위\n④ 감사인측 전문가가 비밀유지의 요구사항을 준수할 필요성	3		감사인측 전문가,합의사항,업무의 성격,범위,목적	역할과 책임,커뮤니케이션,보고서 형태,비밀유지	3편;1장;감사인측전문가	TRUE	CONFIRMED
p03-c01-041	STANDARD	감사기준서 620-12	3	1	4	2	2	4	1	감사인측 전문가가 수행한 업무의 적합성 평가시 고려할 사항	① 감사인측 전문가의 업무에 유의적인 원천데이터의 사용이 수반된다면 그러한 원천데이터의 관련성과 완전성 및 정확성\n② 감사인측 전문가의 업무가 유의적인 가정과 방법을 수반하고 있다면 그 상황에서 그러한 가정과 방법의 관련성과 합리성\n③ 감사인측 전문가가 발견한 사항이나 결론의 관련성과 합리성 및 다른 감사증거와의 일관성이 있는지 여부	3		감사인측 전문가,업무의 적합성,원천데이터,관련성,완전성,정확성	가정과 방법,발견사항,결론,감사증거와의 일관성	3편;1장;감사인측전문가	TRUE	CONFIRMED
p03-c01-042	STANDARD	감사기준서 620-13	3	1	4	2	2	4	2	감사인측 전문가가 수행한 업무가 적합하지 않은 경우 수행절차	① 해당 감사인측 전문가가 수행할 후속업무의 성격과 범위에 대하여 해당 전문가와 합의한다.\n② 해당 상황에 적합한 추가적인 감사절차를 수행한다.	3		감사인측 전문가,업무가 적합하지 않은 경우,후속업무,성격과 범위	추가적인 감사절차	3편;1장;감사인측전문가	TRUE	CONFIRMED
p03-c01-043	STANDARD	감사기준서 610-9	3	1	4	3	2	1	1	내부감사기능이 수행한 업무의 활용여부를 결정하기 위하여 평가하여야 하는 3가지 사항	① 내부감사기능의 적격성 수준\n② 내부감사기능의 조직 내 위상과 관련 정책 및 절차가 내부감사인의 객관성을 지원하는 정도\n③ 품질관리를 포함하여 내부감사기능이 체계적이고 규율된 접근법을 적용하는지 여부	3		내부감사기능,활용여부,적격성 수준,조직 내 위상	정책 및 절차,객관성,품질관리,체계적 접근법,규율된 접근법	3편;1장;내부감사기능	TRUE	CONFIRMED
p03-c01-044	STANDARD	감사기준서 610-16	3	1	4	3	2	2	1	내부감사기능이 수행한 업무의 활용범위를 줄여야 하는 경우	① 관련된 감사절차의 계획 및 수행, 입수된 감사증거의 평가와 같이 많은 판단이 수반될수록\n② 유의적인 것으로 식별된 위험에 대한 특별한 고려와 함께, 경영진주장 수준의 평가된 중요왜곡표시위험이 높을수록\n③ 내부감사기능의 적격성 수준이 낮을수록\n④ 내부감사기능의 조직 내 위상과 관련 정책 및 절차가 내부감사인의 객관성을 적절하게 지원하지 못할수록	3		내부감사기능,활용범위,많은 판단,감사증거 평가	중요왜곡표시위험,적격성 수준,객관성 지원	3편;1장;내부감사기능	TRUE	CONFIRMED
p03-c01-045	STANDARD	감사기준서 610-21~23	3	1	4	3	2	3	1	내부감사기능이 수행한 업무를 활용하기로 계획한 경우 사전절차	① 업무의 활용계획을 내부감사기능과 토의한다.\n② 내부감사기능이 수행한 업무와 관련된 내부감사기능의 보고서를 열람한다.\n③ 내부감사기능이 수행한 업무에 대하여 다음 사항을 평가하여 활용하기로 계획한 내부감사기능의 업무가 감사목적에 적절한지 결정한다: 해당 업무가 적절히 계획, 수행, 감독, 검토 및 문서화되었는지 여부, 합리적 결론 도출을 위한 충분하고 적합한 증거가 입수되었는지 여부, 도달된 결론이 해당 상황에서 적합하고 내부감사기능이 작성한 보고서가 수행된 업무 결과와 일관성이 있는지 여부	3		내부감사기능,사전절차,활용계획 토의,보고서 열람,계획,수행,감독	검토,문서화,충분하고 적합한 증거,결론,일관성	3편;1장;내부감사기능	TRUE	CONFIRMED
p03-c01-046	STANDARD	감사기준서 320-4	3	1	5	1	1		1	감사인의 재무제표 이용자에 대한 가정	① 이용자는 사업과 경제활동 및 회계에 대하여 합리적인 지식을 보유하고 있으며, 합리적인 주의를 기울여 재무제표에 담긴 정보를 연구하려는 의향을 가지고 있다.\n② 이용자는 재무제표가 중요성 수준에서 작성·표시되고 감사가 이루어지고 있다는 점을 이해하고 있다.\n③ 이용자는 추정치의 사용, 판단 그리고 미래 사건들에 대한 고려에 기초한 금액 측정에 내재하는 불확실성을 인식하고 있다.\n④ 이용자는 재무제표에 담긴 정보에 기초하여 합리적인 경제적 의사결정을 한다.	3		재무제표 이용자,합리적인 지식,합리적인 주의,중요성 수준,추정치	판단,불확실성,경제적 의사결정	3편;1장;중요성	TRUE	CONFIRMED
p03-c01-047	STANDARD	감사기준서 320-5	3	1	5	1	2		1	감사인이 중요성을 고려하는 시기	① 감사를 계획하고 수행할 때\n② 식별된 왜곡표시가 감사에 미치는 영향을 평가할 때\n③ 미수정왜곡표시가 있는 경우 재무제표에 미치는 영향을 평가할 때, 즉 감사보고서에 표명할 의견을 형성할 때	3		중요성,감사계획,감사수행,식별된 왜곡표시,미수정왜곡표시	재무제표 영향,감사의견 형성	3편;1장;중요성	TRUE	CONFIRMED
p03-c01-048	STANDARD	감사기준서 320-6	3	1	5	2			1	계획수립시 중요성을 설정하는 이유	감사계획 수립시 감사인은 중요하다고 고려될 왜곡표시의 크기에 관한 판단을 내리게 된다. 이러한 판단은 다음 사항에 대한 근거를 제공한다.\n① 위험평가절차의 성격, 시기 및 범위의 결정\n② 중요왜곡표시위험의 식별과 평가\n③ 추가감사절차의 성격, 시기 및 범위의 결정	3		계획수립,중요성 설정,왜곡표시의 크기,위험평가절차,성격	시기,범위,중요왜곡표시위험,추가감사절차	3편;1장;중요성	TRUE	CONFIRMED
p03-c01-049	STANDARD	320	3	1	5	3			1	중요성의 4가지 종류	① 재무제표 전체에 대한 중요성: 감사의견 형성시 적용된다.\n② 재무제표 전체에 대한 수행중요성: 감사를 계획하고 수행시 적용된다.\n③ 특정항목에 대한 중요성: 감사의견 형성시 적용된다.\n④ 특정항목에 대한 수행중요성: 감사를 계획하고 수행시 적용된다.	3		중요성,재무제표 전체에 대한 중요성,수행중요성,특정항목에 대한 중요성,특정항목에 대한 수행중요성	감사의견 형성,감사계획	3편;1장;중요성	TRUE	CONFIRMED
p03-c01-050	STANDARD	320	3	1	5	3	1		1	중요성을 적용한 감사의견의 형성	① 감사범위제한·미수정왜곡표시가 재무제표 전체의 중요성보다 작은 경우에는 적정의견을 표명한다.\n② 감사범위제한·미수정왜곡표시가 재무제표 전체의 중요성 이상인 경우에는 한정의견 또는 부적정의견 등을 고려한다.	3		감사범위제한,미수정왜곡표시,재무제표 전체의 중요성,적정의견	한정의견,부적정의견	3편;1장;중요성	TRUE	NEEDS_CHECK
p03-c01-051	STANDARD	320	3	1	5	3	2		1	재무제표 전체에 대한 수행중요성의 정의	재무제표 전체에 대한 수행중요성은 미수정왜곡표시와 미발견왜곡표시의 합계가 재무제표 전체의 중요성을 초과할 확률을 적절하게 낮은 수준으로 감소시키기 위해 감사인이 재무제표 전체의 중요성보다 작게 설정하는 금액이다. 이는 수행중요성의 정의이면서 동시에 설정목적에 해당한다.	3		수행중요성,미수정왜곡표시,미발견왜곡표시,재무제표 전체의 중요성	초과할 확률,낮은 수준,작게 설정	3편;1장;중요성	TRUE	CONFIRMED
p03-c01-052	STANDARD	감사기준서 320-10	3	1	5	3	3		1	특정항목의 중요성 설정에 영향을 미치는 요인	① 법규 또는 해당 재무보고체계가 어떤 항목의 측정이나 공시에 대한 이용자의 기대에 영향을 미치는지 여부\n② 기업이 속한 산업에 관련된 주요 공시\n③ 재무제표에 별도로 공시되는 회사사업의 특정측면에 주의가 집중되는지 여부	3		특정항목의 중요성,법규,재무보고체계,이용자의 기대,주요 공시	회사사업의 특정측면	3편;1장;중요성	TRUE	CONFIRMED
p03-c01-053	STANDARD	320	3	1	5	3	5		1	명백하게 사소한 금액과 관련하여 유의할 사항	① 명백하게 사소한 금액은 중요성의 종류에 해당하지 않는다. 따라서 반드시 설정하여야 하는 것은 아니다.\n② 중요하지 않다는 표현과 명백하게 사소한 금액은 다르다.\n③ 명백하게 사소한 금액은 실증절차 완료 후에 감사인이 작성하는 식별된 왜곡표시집계표에 집계하지 않는다.\n④ 명백하게 사소한 금액은 식별된 왜곡표시집계표에 포함되지 않으므로 경영진의 미수정왜곡표시에 대한 서면진술에도 포함되지 않는다.	3		명백하게 사소한 금액,중요성의 종류 아님,식별된 왜곡표시집계표,미수정왜곡표시	서면진술	3편;1장;중요성	TRUE	CONFIRMED
p03-c01-054	STANDARD	감사기준서 320-A3	3	1	5	4			1	벤치마크의 식별에 영향을 미치는 요소	① 재무제표의 요소: 자산, 부채, 자본, 수익, 비용\n② 특정기업의 재무제표이용자가 중점을 둘 가능성이 높은 항목들이 존재하는지 여부\n③ 기업의 성격, 기업 수명주기상의 위치 그리고 기업이 속한 산업 및 경제 환경\n④ 기업의 소유구조와 자본조달방법\n⑤ 벤치마크의 상대적 변동성	3		벤치마크,재무제표 요소,자산,부채,자본,수익,비용,이용자 중점 항목,기업 성격	수명주기,산업,경제 환경,소유구조,자본조달방법,상대적 변동성	3편;1장;중요성	TRUE	CONFIRMED
p03-c01-055	STANDARD	감사기준서 320-13	3	1	5	5			1	중요성을 낮추기로 결정한 경우 결정사항	① 수행중요성을 수정하는 것이 필요한지 여부\n② 추가감사절차의 성격, 시기 및 범위가 여전히 적합한지 여부\n특정항목에 대한 중요성을 설정하였다면 그 특정항목에 대한 중요성과 수행중요성도 낮추는 것이 필요한지 결정해야 한다.	3		중요성 수정,수행중요성 수정,추가감사절차,성격	시기,범위,특정항목 중요성	3편;1장;중요성	TRUE	CONFIRMED
p03-c01-056	STANDARD	200	3	1	6	1	2		1	감사위험의 구성요소	감사위험 = 중요왜곡표시위험 × 적발위험\n감사위험 = 고유위험 × 통제위험 × 적발위험\n① 중요왜곡표시위험: 감사의 착수 이전에 재무제표가 중요하게 왜곡표시되어 있을 위험을 말하며, 고유위험과 통제위험으로 구성된다.\n② 고유위험: 모든 관련통제를 고려하기 전에 거래유형, 계정잔액 혹은 공시에 대한 경영진의 주장이 개별적으로 또는 다른 왜곡표시와 합칠 때 중요하게 왜곡표시될 가능성을 말한다.\n③ 통제위험: 경영진주장에서 발생할 수 있으며 개별적으로 또는 다른 왜곡표시와 합쳐 중요할 수 있는 왜곡표시가 기업의 내부통제시스템에 의해 적시에 예방되거나 발견·수정되지 못할 위험을 말한다.\n④ 적발위험: 감사위험을 수용가능한 낮은 수준으로 감소시키기 위해 감사인이 수행하는 절차가 개별적으로 또는 다른 왜곡표시와 합칠 경우 중요할 수 있는 왜곡표시를 발견하지 못할 위험을 말한다.	3		감사위험,중요왜곡표시위험,고유위험,통제위험,적발위험	내부통제시스템,경영진주장	3편;1장;감사위험	TRUE	CONFIRMED
p03-c01-057	STANDARD	200	3	1	6	1	2		2	중요왜곡표시위험과 적발위험에 대한 감사인의 통제여부	중요왜곡표시위험은 감사인이 통제할 수 없고 식별과 평가의 대상이다. 적발위험은 감사인이 통제할 수 있으며 실증절차를 통해 적발하는 대상이다.	3		중요왜곡표시위험,적발위험,통제불가,통제가능,식별과 평가	실증절차	3편;1장;감사위험	TRUE	CONFIRMED
p03-c01-058	STANDARD	감사기준서 200-A45	3	1	6	1	2		3	적발위험을 감소시키는 사항	① 업무팀원의 적절한 구성\n② 적절한 계획수립\n③ 전문가적 의구심의 적용\n④ 수행된 감사업무의 감독과 검토	3		적발위험,업무팀원 구성,계획수립,전문가적 의구심	감독,검토	3편;1장;감사위험	TRUE	CONFIRMED
